original_text,cleaned_text,tokens,lemmas,token_count,unique_tokens,hinglish_score,is_complex,rule_topics,rule_tags,rule_summary,review_id,model_name,text_length,language_detected,preprocessed_text
"Shine 125 leke life set ho gayi. Mileage acha hai, engine smooth.","shine 125 leke life set ho gayi. fuel_efficiency acha hai, engine smooth.","shine 125 life set gayi. fuel_efficiency acha hai, engine smooth.","shine 125 life set gayi . fuel_efficiency acha hai , engine smooth .",10,10,16,True,"['mileage', 'engine']",[],,REV00101,Shine 125,65,mixed,"shine 125 leke life set ho gayi. fuel_efficiency acha hai, engine smooth."
Activa 125 is reliable for city rides. Fuel efficiency zabardast.,activa 125 is reliable for city rides. fuel efficiency zabardast.,activa 125 reliable city rides. fuel efficiency zabardast.,activa 125 reliable city rides. fuel efficiency zabardast.,8,8,10,False,['fuel_efficiency'],[],fuel_efficiency,REV00102,Activa 125,65,mixed,activa 125 is reliable for city rides. fuel efficiency zabardast.
"Activa 6G is easy to handle, perfect for beginners. Comfortable seat.","activa 6g is easy to handle, perfect for beginners. comfortable seat.","activa 6g easy handle, perfect beginners. comfortable seat.","activa 6g easy handle, perfect beginners. comfortable seat.",8,8,9,False,['ride_quality'],[],ride_quality,REV00103,Activa 6G,69,mixed,"activa 6g is easy to handle, perfect for beginners. comfortable seat."
Dio performs well in daily commute and occasional long rides. Maintenance low.,dio performs well in daily commute and occasional long rides. maintenance low.,dio performs well daily commute occasional long rides. maintenance low.,dio performs well daily commute occasional long rides. maintenance low.,10,10,8,False,[],[],general,REV00104,Dio,78,mixed,dio performs well in daily commute and occasional long rides. maintenance low.
Powerful engine; not ideal for city traffic but excels on highways. Heat management okay.,powerful engine not ideal for city traffic but excels on highways. heat management okay.,powerful engine ideal city traffic excels highways. heat management okay.,powerful engine ideal city traffic excel highway . heat management okay .,10,10,0,True,"['heat', 'engine']",[],,REV00105,CBR650R,89,mixed,powerful engine not ideal for city traffic but excels on highways. heat management okay.
SP 125 gives balanced ride and good mileage. Very satisfied with pickup.,sp 125 gives balanced ride and good fuel_efficiency. very satisfied with pickup.,sp 125 gives balanced ride good fuel_efficiency. satisfied pickup.,sp 125 give balanced ride good fuel_efficiency . satisfied pickup .,9,9,8,True,"['mileage', 'pickup']",[],,REV00106,SP 125,72,mixed,sp 125 gives balanced ride and good fuel_efficiency. very satisfied with pickup.
Hornet 2.0 is fun on twisties. Good build quality and responsive engine.,hornet 2.0 is fun on twisties. good build quality and responsive engine.,hornet 2.0 fun twisties. good build quality responsive engine.,hornet 2.0 fun twisties. good build quality responsive engine.,9,9,0,False,['performance'],[],performance,REV00107,Hornet 2.0,72,mixed,hornet 2.0 is fun on twisties. good build quality and responsive engine.
Great beginner sport bike. Handles well in city and short trips.,great beginner sport bike. handles well in city and short trips.,great beginner sport bike. handles well city short trips.,great beginner sport bike. handles well city short trips.,9,9,0,False,[],[],general,REV00108,CBR300R,64,mixed,great beginner sport bike. handles well in city and short trips.
Activa 125 reliable and comfortable for daily use. Storage is decent.,activa 125 reliable and comfortable for daily use. storage is decent.,activa 125 reliable comfortable daily use. storage decent.,activa 125 reliable comfortable daily use. storage decent.,8,8,9,False,['practicality'],[],practicality,REV00109,Activa 125,69,mixed,activa 125 reliable and comfortable for daily use. storage is decent.
Shine 125 offers smooth ride and good fuel economy. Recommended for families.,shine 125 offers smooth ride and good fuel economy. recommended for families.,shine 125 offers smooth ride good fuel economy. recommended families.,shine 125 offers smooth ride good fuel economy. recommended families.,10,10,8,False,['fuel_efficiency'],[],fuel_efficiency,REV00110,Shine 125,77,mixed,shine 125 offers smooth ride and good fuel economy. recommended for families.
