"Review_ID","Model_Name","Review_Date","Location","User_Type","Source","Ownership_Months","Review_Text"
"REV00001","Shine 125","2025-11-06","Hyderabad","Family User","Team-BHP","16","Shine 125 leke life set ho gayi bhai. Mileage 55+ aa raha hai highway pe. Engine smooth, no vibrations till 80kmph. Best bike in this segment without any doubt. Buy kar lo bina soche. heat bahut aati hai. Hyderabad ke flyovers pe bahut mast feel hota hai."
"REV00002","Activa 125","2026-05-29","Rural Uttar Pradesh","Track Rider","YouTube Comments","21","Office se ghar, market, everywhere Activa 125 ne saath diya. Reliable bike hai. 21 months mein sirf routine service. Koi bada problem nahi aaya. Honda zindabad! Gaon ki kacchi sadak pe bhi chala liya. Circuit pe bahut engaging hai."
"REV00003","Activa 125","2024-07-11","Mumbai","Track Rider","Instagram","6","Activa 125 ek reliable daily rider hai. Koi bada issue nahi aaya, but chhoti chhoti cheezein hain jo irritate karti hain - dim headlight, hard seat, limited storage. Honda ko premium feel dena chahiye. Track pe iska alag hi character nikalta hai."
"REV00004","Dio","2024-01-30","Kolkata","Beginner Rider","Facebook","9","Office se ghar, market, everywhere Dio ne saath diya. Reliable bike hai. 9 months mein sirf routine service. Koi bada problem nahi aaya. Honda zindabad!"
"REV00005","Activa 6G","2024-02-24","Kolkata","Track Rider","Facebook","4","Activa 6G mera second Honda hai. Pehle bhi Honda use ki thi, wahi trust se liya. Delivery experience accha tha, salesman ne sab features clearly explain kiye. Ride quality excellent. pickup zabardast. bahut khush hoon. pickup zabardast."
"REV00006","Dio","2024-04-21","Delhi NCR","Enthusiast","Team-BHP","8","Maine Dio liya 8 mahine pehle aur mast experience raha hai. Mileage bahut accha hai, daily commute ke liye perfect hai. Honda ki build quality pe trust hai. Highly recommend karunga apne area ke logo ko. build quality acchi hai. engine smooth hai. storage kam hai. bhai kya bike hai."
"REV00007","Activa 6G","2024-08-13","Lucknow","Beginner Rider","Twitter","6","Activa 6G se kaafi hadd tak satisfied hoon. Mileage aur looks acche hain. But after sales service improve karna chahiye Honda ko. Waiting time at service centre bahut zyada hai. city mein bhi accha. thoda improve karo Honda."
"REV00008","Activa 125","2026-01-26","Lucknow","Enthusiast","MouthShut","11","Activa 125 liye 11 mahine ho gaye. Pros: fuel efficient, reliable, low maintenence generally. Cons: service centre rude staff, storage cramped, vibration at highway speeds. Net net okay hai. recommend karunga. Lucknow ki sadkon pe bahut comforatble. Group rides mein sab impress ho jaate hain."
"REV00009","Activa 6G","2024-01-10","Jaipur","Female Rider","YouTube Comments","19","Activa 6G is superb for daily office use. No vibrations, smooth ride. Mileage mast hai around 50kmpl. Only issue is seat comfort on long rides but for city it's perfect. pothole mein problem. mileage mast hai. on road price zyada lag raha tha. Mujhe akele bhi confident feel hota hai is pe."
"REV00010","Activa 6G","2026-03-04","Mumbai","Family User","Service Center","26","Activa 6G is value for money if you stick to city riding. Highway pe vibrations and wind noise bother karta hai. Suspension is average for our Indian roads. Mileage is the highlight though. starting kabhi problem nahi. value for money hai. bhai kya bike hai."
"REV00011","Activa 6G","2025-12-28","Rural Uttar Pradesh","Beginner Rider","Team-BHP","9","Activa 6G overall accha hai but kuch cheezein improve ho sakti hain. Mileage aur comfort accha hai, but service cost zyada hai. Storage bhi zyada hota toh aur better hota. daily commute ke liye perfect. Rural areas mein petrol pump door hote hain so mileage matters. Pehli bike ke liye accha choice tha."
"REV00012","Activa 6G","2025-12-13","Chennai","Female Rider","Twitter","24","Activa 6G mera second Honda hai. Pehle bhi Honda use ki thi, wahi trust se liya. Delivery experience accha tha, salesman ne sab features clearly explain kiye. Ride quality excellent. Chennai traffic is no joke, but this handles it. Mujhe akele bhi confident feel hota hai is pe."
"REV00013","Shine 125","2024-12-05","Chennai","Long Distance Rider","Service Center","10","Toured Rajasthan on my Shine 125 for 4 days straight. Bike performed flawlessly. Comfortable seating, good wind protection, excellent brakes. Honda Shine 125 is a true long distance companion. city mein bhi accha. recommend karunga. on road price zyada lag raha tha. thoda improve karo Honda. Touring ke liye really good bike hai."
"REV00014","Dio","2025-11-28","Bangalore","Track Rider","MouthShut","10","Vibration feel hota hai Dio mein high speed pe. 70+ pe haath kaanpne lagte hain. Service center ne kaha normal hai but mujhe nahi lagta. Expected better from Honda. bahut accha hai. heat bahut aati hai."
"REV00015","Shine 125","2024-01-06","Chennai","Female Rider","BikeWale","2","Bhai Shine 125 ek dam mast bike hai. Long rides pe bahut comfort deta hai. Suspension pothole absorb karta hai well. Sound bhi accha hai engine ka. Friends bhi impressed hain. service center nearby hai. EMI affordable hai. Chennai traffic is no joke, but this handles it."
"REV00016","CB350RS","2024-07-20","Chennai","Family User","Service Center","8","Bhai CB350RS ek dam mast bike hai. Long rides pe bahut comfort deta hai. Suspension pothole absorb karta hai well. Sound bhi accha hai engine ka. Friends bhi impressed hain. service center nearby hai. Marina beach rides are amazing on this."
